ROI (INR),-116.5
ROI %,-0.23
Max DD %,-0.3
Number of Trades,36
Number of Wins,11
Number of Loses,20
Hit Ratio %,30.56
Avg. Trades per Day,1
Number of Long Trades,36
Number of Short Trades,0
Max Gain (INR),52.5
Min Gain (INR),-30.25
Avg. Profit per Winning Trade (INR),15.05
Avg. Loss per Losing Trade (INR),-14.1
