ROI (INR),-8.5
ROI %,-0.02
Max DD %,-0.71
Number of Trades,147
Number of Wins,74
Number of Loses,73
Hit Ratio %,50.34
Avg. Trades per Day,3
Number of Long Trades,74
Number of Short Trades,73
Max Gain (INR),70.5
Min Gain (INR),-91.5
Avg. Profit per Winning Trade (INR),13.31
Avg. Loss per Losing Trade (INR),-13.61
