ROI (INR),-21.9
ROI %,-0.04
Max DD %,-0.08
Number of Trades,17
Number of Wins,9
Number of Loses,8
Hit Ratio %,52.94
Avg. Trades per Day,2
Number of Long Trades,8
Number of Short Trades,9
Max Gain (INR),11.2
Min Gain (INR),-21.9
Avg. Profit per Winning Trade (INR),5.6
Avg. Loss per Losing Trade (INR),-7.64
