,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,PnL,PnL %,PnL CUM,PnL CUM %
0,NSE_EQ:TATASTEEL,2020-07-09 09:45:00,577e6b4cb646463282ae98ec1c0e6c25,BUY,1,345.0,INTRADAY,LIMIT,2020-07-09 10:00:00,be2d14219b9942fa9b7ae0455e702cc3,SELL,1,348.45,INTRADAY,LIMIT,3.45,1.0,3.45,1.0
1,NSE_EQ:TATASTEEL,2020-07-09 12:00:00,858b3f21ff784ea6ac4d9b9dd0a46600,SELL,1,345.2,INTRADAY,LIMIT,2020-07-09 15:30:00,ada338cf4fc8405f88ed6ad166dd30b0,BUY,1,345.0,INTRADAY,MARKET,0.2,0.06,3.65,1.06
