ROI (INR),15.4
ROI %,0.03
Max DD %,-0.04
Number of Trades,12
Number of Wins,7
Number of Loses,5
Hit Ratio %,58.33
Avg. Trades per Day,2
Number of Long Trades,6
Number of Short Trades,6
Max Gain (INR),22.7
Min Gain (INR),-17.4
Avg. Profit per Winning Trade (INR),9.32
Avg. Loss per Losing Trade (INR),-6.24
