ROI (INR),90.4
ROI %,0.18
Max DD %,-0.12
Number of Trades,197
Number of Wins,78
Number of Loses,119
Hit Ratio %,39.59
Avg. Trades per Day,6
Number of Long Trades,99
Number of Short Trades,98
Max Gain (INR),59.3
Min Gain (INR),-39.5
Avg. Profit per Winning Trade (INR),6.44
Avg. Loss per Losing Trade (INR),-3.36
