ROI (INR),-37854.0
ROI %,-75.71
Max DD %,-90.24
Number of Trades,189
Number of Wins,90
Number of Loses,99
Hit Ratio %,47.62
Avg. Trades per Day,3
Number of Long Trades,126
Number of Short Trades,63
Max Gain (INR),5337.75
Min Gain (INR),-5325.0
Avg. Profit per Winning Trade (INR),1946.37
Avg. Loss per Losing Trade (INR),-2033.83
