,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,PnL,PnL %,PnL CUM,PnL CUM %
0,NSE_EQ:SBIN,2020-07-09 10:30:00,2b079bc873f64f53a33f91b6ceec707b,BUY,1,194.7,INTRADAY,MARKET,2020-07-09 10:45:00,8a8e7403cc7241c9ae4d922744b4d214,SELL,1,194.0,INTRADAY,MARKET,-0.7,-0.36,-0.7,-0.36
1,NSE_EQ:SBIN,2020-07-09 10:45:00,20e9e182a39541a58555d82edb7d4524,SELL,1,194.0,INTRADAY,MARKET,2020-07-09 11:15:00,1176d17c1fcb40d68568059de2feec5f,BUY,1,194.75,INTRADAY,MARKET,-0.75,-0.39,-1.45,-0.75
2,NSE_EQ:SBIN,2020-07-09 11:15:00,e4a65eeb95184ebcb84ebd944e5af81f,BUY,1,194.75,INTRADAY,MARKET,2020-07-09 11:30:00,4179892e63b24d69a6005ca55726352f,SELL,1,194.05,INTRADAY,MARKET,-0.7,-0.36,-2.15,-1.11
3,NSE_EQ:SBIN,2020-07-09 11:30:00,d65b94b73c0d4073bb4833492c6e1999,SELL,1,194.05,INTRADAY,MARKET,2020-07-09 12:45:00,6287a8e893314f41acaa37cd12d129fe,BUY,1,194.45,INTRADAY,MARKET,-0.4,-0.21,-2.55,-1.32
4,NSE_EQ:SBIN,2020-07-09 12:45:00,32041c33d11f4d11a4c0c50fd6d7091e,BUY,1,194.45,INTRADAY,MARKET,2020-07-09 15:30:00,eca45c32b31d416382cbb268248c7ba4,SELL,1,200.0,INTRADAY,MARKET,5.55,2.85,3.0,1.53
