ROI (INR),278.8
ROI %,0.56
Max DD %,-0.14
Number of Trades,47
Number of Wins,26
Number of Loses,21
Hit Ratio %,55.32
Avg. Trades per Day,2
Number of Long Trades,26
Number of Short Trades,21
Max Gain (INR),167.9
Min Gain (INR),-68.4
Avg. Profit per Winning Trade (INR),24.28
Avg. Loss per Losing Trade (INR),-11.0
