ROI (INR),-16.15
ROI %,-0.03
Max DD %,-0.08
Number of Trades,94
Number of Wins,52
Number of Loses,42
Hit Ratio %,55.32
Hit Ratio Day Wise %,47.05882352941176
Avg. Trades per Day,2
Number of Long Trades,45
Number of Short Trades,49
Max Gain (INR),18.7
Min Gain (INR),-8.55
Avg. Profit per Winning Trade (INR),2.95
Avg. Loss per Losing Trade (INR),-2.98
