,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HDFCBANK,2023-01-04 13:15:00+05:30,fb851036a7304170bb757f2c4ba0c583,BUY,2,1616.9,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,46fd72a335c749d7881b86e8d46747e1,SELL,2,1610.5,INTRADAY,MARKET,-12.8,-12.8,-0.4,-0.03,49987.2,-0.03
1,NSE_EQ:HDFCBANK,2023-01-05 09:15:00+05:30,20828c183a8b4c6fa64b77404c3c9f4b,BUY,2,1615.0,INTRADAY,MARKET,2023-01-05 10:15:00+05:30,e04661b20ee642638ab19df53b0a3e85,SELL,2,1606.9,INTRADAY,MARKET,-16.2,-29.0,-0.5,-0.06,49971.0,-0.06
2,NSE_EQ:HDFCBANK,2023-01-05 15:15:00+05:30,ce55987cdf344aaf896da29433ea3658,BUY,2,1599.95,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,5981370234fa4efe91ef941a1518fe47,SELL,2,1599.95,INTRADAY,MARKET,0.0,-29.0,0.0,-0.06,49971.0,-0.06
3,NSE_EQ:HDFCBANK,2023-01-06 12:15:00+05:30,ab0cff439f624a45980d559684244029,BUY,2,1595.75,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,d3a34e39fc6944cd85a52b234f1fc8cc,SELL,2,1587.4,INTRADAY,MARKET,-16.7,-45.7,-0.52,-0.09,49954.3,-0.09
4,NSE_EQ:HDFCBANK,2023-01-06 15:15:00+05:30,925f4e123b0e436c9c690fc58266a439,BUY,2,1595.55,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,818f88547ba74d699cd148461107011b,SELL,2,1595.55,INTRADAY,MARKET,0.0,-45.7,0.0,-0.09,49954.3,-0.09
5,NSE_EQ:HDFCBANK,2023-01-10 14:15:00+05:30,55b6ef6714e9450abdce6bbee4924f91,BUY,2,1572.0,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,710e588918634f41828c53f800efc452,SELL,2,1570.0,INTRADAY,MARKET,-4.0,-49.7,-0.13,-0.1,49950.3,-0.1
6,NSE_EQ:HDFCBANK,2023-01-17 09:15:00+05:30,48fc0aa3387541cb9274ad48b3ce47b5,BUY,2,1589.8,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,24ea60021325480bb2c7db09b2d503ba,SELL,2,1609.4,INTRADAY,MARKET,39.2,-10.5,1.23,-0.02,49989.5,-0.02
7,NSE_EQ:HDFCBANK,2023-01-19 15:15:00+05:30,3ac811591504417bbd0f9bd63a0e9d93,SELL,2,1644.25,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,9bc774b55c9440289b4e2c3c02dd580a,BUY,2,1644.25,INTRADAY,MARKET,-0.0,-10.5,-0.0,-0.02,49989.5,-0.02
8,NSE_EQ:HDFCBANK,2023-01-20 15:15:00+05:30,03c59785644540cebd53836fb3c38107,SELL,2,1659.75,INTRADAY,MARKET,2023-01-20 15:30:00+05:30,337911ef2cd445c8828384641a7a3caa,BUY,2,1659.75,INTRADAY,MARKET,-0.0,-10.5,-0.0,-0.02,49989.5,-0.02
9,NSE_EQ:HDFCBANK,2023-01-23 13:15:00+05:30,f7db140548444764b2d14b388fb5a5b7,SELL,2,1671.9,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,451153b0ee684a3eb2ca8c3de8435dc4,BUY,2,1674.2,INTRADAY,MARKET,-4.6,-15.1,-0.14,-0.03,49984.9,-0.03
10,NSE_EQ:HDFCBANK,2023-01-25 09:15:00+05:30,4eea7c701dcb49e6ba983f3103bd7c5f,SELL,2,1691.4,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,99f42eb72ef74212b864b5e768ac0ed4,BUY,2,1649.25,INTRADAY,MARKET,84.3,69.2,2.49,0.14,50069.200000000004,0.0
11,NSE_EQ:HDFCBANK,2023-01-27 12:15:00+05:30,f75ba68648e84c838ae54e9276001c2c,BUY,2,1623.1,INTRADAY,MARKET,2023-01-27 13:15:00+05:30,da2b677d5a80421891361ff948892fc2,SELL,2,1616.2,INTRADAY,MARKET,-13.8,55.4,-0.43,0.11,50055.4,-0.03
12,NSE_EQ:HDFCBANK,2023-01-27 15:15:00+05:30,230b837c63c644e684c52c801b889c3d,BUY,2,1617.65,INTRADAY,MARKET,2023-01-27 15:30:00+05:30,333934ed07a74c06a46e117d6e87f623,SELL,2,1617.65,INTRADAY,MARKET,0.0,55.4,0.0,0.11,50055.4,-0.03
13,NSE_EQ:HDFCBANK,2023-01-30 14:15:00+05:30,3e7efa26e19d4a6495519b8ae3823e15,BUY,2,1597.4,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,12e34efc10dd40eda59cc97db8a8cdc5,SELL,2,1615.35,INTRADAY,MARKET,35.9,91.3,1.12,0.18,50091.3,0.0
14,NSE_EQ:HDFCBANK,2023-02-01 14:15:00+05:30,a0efec6ab9c041b598dc56fee3d1f803,SELL,2,1633.0,INTRADAY,MARKET,2023-02-01 15:30:00+05:30,35e889f993634658acde0d9efc266b40,BUY,2,1626.5,INTRADAY,MARKET,13.0,104.3,0.4,0.21,50104.3,0.0
