ROI (INR),0.2
ROI %,0.0
Max DD %,-0.13
Number of Trades,64
Number of Wins,36
Number of Loses,28
Hit Ratio %,56.25
Hit Ratio Day Wise %,54.23728813559322
Avg. Trades per Day,2
Number of Long Trades,40
Number of Short Trades,24
Max Gain (INR),15.4
Min Gain (INR),-17.05
Avg. Profit per Winning Trade (INR),4.94
Avg. Loss per Losing Trade (INR),-5.46
