ROI (INR),-7.2
ROI %,-0.01
Max DD %,-0.15
Number of Trades,77
Number of Wins,44
Number of Loses,33
Hit Ratio %,57.14
Avg. Trades per Day,2
Number of Long Trades,31
Number of Short Trades,46
Max Gain (INR),15.0
Min Gain (INR),-18.4
Avg. Profit per Winning Trade (INR),3.24
Avg. Loss per Losing Trade (INR),-3.85
